Date,Location,AP,Description
"-1,293.00",Taldor,IS,Taldor founded.
-1003.00,Numeria,IG,"Armag, a barbarian warlord, terrorizes Southwest Numeria and nearby lands."
-892.00,Mana Wastes,IS,Nex and Geb go to war.
-632.00,Geb,IS,Geb committs ritual suicide. He returns as a ghost.
0.00,Absalom,IS,"Absalom founded. Aroden, the Last Azlanti, raises the Starstone from the depths of the Inner Sea and becomes a living god."
0499.00.00,Numeria,IG,Taldor's Second Army of Exploration explores Numeria but is pushed back by native hostility.
0576.01.01,Nex,IS,Nex vanishes during a Gebbite attack that kills thousands.
0896.01.01,Isle of Terror,IS,Aroden (god) slays Tar Baphon (living)
1288.00.00,Numeria,IG,Battle of Grasyhot begins. Queen Boliga Bharsolm clashes with 30 tribes of the hill giant chief Urgo Axbiter.
1291.00.00,Numeria,IG,Axbiter slain. Hill giants defeated. Queen Boliga killed.
1305.00.00,Numeria,IG,Aaramor construction begins to prevent giant population from reaching dangerous numbers again.
1521.00.00,Numeria,IG,Lord of Aaramor orders the demolition of cities stone bridges in favor of wood to deter giant attacks.
1540.00.00,Cheliax,HV,"Taldor's Third Army of exploration completes its conquest of Southern Avistan, including hte land that will become the nation of Cheliax."
1707.01.01,Andoran,IS,Andoran founded.
1893.01.01,Absalom,IS,Norgorber passes the test of the starstone and ascends to godhood.
2009.00.00,Numeria,IG,Taldor's 5th Army of Exploration expands nearby but ignores Numeria.
2632.01.01,Kyonin,IS,Elves return to Golarion.
2765.01.01,Absalom,IS,Cayden Cailean drunkenly passes the test of the Starstone and ascends to godhood.
3007.00.00,Cheliax,HV,Cheliax is founded as the Westernmost province of Taldor.
3007.01.01,Cheliax,IS,Cheliax Founded.
3203.00.00,Ustalav,CC,Tar Baphon is reborn as the lich called The Whispering Tyrant and conquers Ustalav.
3441.00.00,Numeria,IG,Battle of Falheart. Prince Rathorn and Sabline the Traitor charge in but their entire armies mysteriously die before battle begins.
3637.00.00,Absalom,IG,Karamoss creates the Red Redoubt and begins his siege of Absalom.
3732.00.00,Absalom,HV,Iomedae completes the Test of the Starstone and becomes a goddess and Aroden's Herald.
3754.00.00,Ustalav,CC,"The Empire of Taldor calls soldiers from all over their realm and marches against the Whispering Tyrant of Ustalav, in a war known as the Shining Crusade."
3800.00.00,Cheliax,HV,Iomedae is born in Cheliax.
3816.00.00,Ustalav,HV,Iomedae joins the Shining Crusade against the Whispering Tyrant Tar-Baphon
3823.01.01,Ustalav,IS,Whispering Tyrant Tar Baphon (lich now) kills Arazni
3826.00.00,Ustalav,HV,"The Whispering Tyrant breaks Iomedae's sword but she fuses the pieces together, forming Heart's Edge. Her 6th miracle."
3827.00.00,Ustalav,CC,The Whispering Tyrant is defeated by the Shining Crusade and imprisoned within Gallowspire.
3831.00.00,Kantaria,HV,"Iomedae completes her tenth act, ruling Kantaria for a year and a day. She gives Heart's Edge to House Narikopolus."
3832.01.01,Absalom,IS,Iomedae passes the Test of the Starstone
